gaz,liquid_tm,liquid,energy,water,nd,pressure_zad,pressure_buf,d,lin,kvch,сurrent,freq,vol,id
400.0,17.0,35.0,600.8,71.0,364.3333435058594,1.8333333730697632,1.3333333730697632,9.0,1.1666666269302368,93.0,9.5,24.25,8.211,487
800.0,34.0,35.0,637.8,70.6,728.6666870117188,3.6666667461395264,2.6666667461395264,18.0,2.3333332538604736,186.0,19.0,48.5,8.325,487
815.5,34.5,34.0,637.7,70.6,1093.0000305175781,5.5000001192092896,4.0000001192092896,18.0,3.4999998807907104,177.5714282989502,18.571428567171097,48.5,8.087,487
831.0,35.0,34.0,581.5,70.6,1457.3333740234375,7.333333492279053,5.333333492279053,18.0,4.666666507720947,169.1428565979004,18.142857134342194,48.5,8.087,487
832.6666666269302,35.0,34.0,656.6,70.6,1821.6667175292969,9.166666865348816,6.666666865348816,18.0,5.833333134651184,160.7142848968506,17.71428570151329,48.5,8.087,487
834.3333332538605,35.0,35.0,600.2,71.0,2186.0,11.0,8.0,18.0,7.0,152.28571319580078,17.285714268684387,48.5,8.211,487
836.0,35.0,35.0,675.3,71.0,2186.5,10.75,8.0,18.0,7.25,143.85714149475098,16.857142835855484,48.5,8.211,487
836.6666666865349,35.0,35.0,600.3,68.0,2187.0,10.5,8.0,18.0,7.5,135.42856979370117,16.42857140302658,48.5,9.061,487
837.3333333730698,35.0,35.0,637.9,68.0,2187.5,10.25,8.0,18.0,7.75,126.99999809265137,16.0,48.5,9.061,487
838.0,35.0,35.0,656.6,68.0,2188.0,10.0,8.0,18.0,8.0,118.57142639160156,10.0,48.5,9.061,487
845.0,35.0,35.0,581.6,69.3,2188.0,10.0,8.0,18.0,8.0,110.14285469055176,9.0,48.5,8.693,487
852.0,35.0,35.0,619.1,69.0,2188.0,10.0,8.0,18.0,8.0,101.71428298950195,10.0,48.5,8.778,487
853.6666666269302,35.0,35.0,619.0,69.0,2188.0,10.0,8.0,18.0,8.0,93.28571128845215,12.0,48.5,8.778,487
855.3333332538605,35.0,35.0,656.3,69.3,2188.0,10.0,8.0,18.0,8.0,84.85713958740234,17.0,48.5,8.693,487
857.0,35.0,35.0,637.8,69.0,2188.0,10.0,8.0,18.0,8.0,76.42856788635254,19.0,48.5,8.778,487
848.6666669845581,35.0,35.0,637.8,69.0,2188.0,10.0,8.0,18.0,8.0,68.0,18.0,48.5,8.778,487
840.3333339691162,35.0,35.0,656.6,69.0,2188.0,10.0,8.0,18.0,8.0,68.0,18.05454545468092,48.5,8.778,487
832.0,35.0,35.0,637.7,78.0,2188.0,10.0,8.0,18.0,8.0,68.0,18.10909090936184,48.5,6.229,487
835.0,35.5,35.0,637.8,77.7,2188.0,10.0,8.0,18.0,8.0,68.0,18.16363636404276,48.5,6.314,487
838.0,36.0,35.0,563.0,77.7,2188.0,10.0,8.0,18.0,8.0,68.0,18.21818181872368,48.5,6.314,487
824.0,35.83333332836628,36.0,582.7,77.7,2188.0,10.0,8.0,18.0,8.0,68.0,18.2727272734046,48.5,6.495,487
810.0,35.66666665673256,36.0,507.6,77.7,2188.0,10.0,8.0,18.0,8.0,68.0,18.327272728085518,48.5,6.495,487
796.0,35.49999998509884,36.0,545.2,77.7,2188.0,10.0,8.0,18.0,8.0,68.0,18.381818182766438,48.5,6.495,487
782.0,35.33333331346512,36.0,582.7,77.7,2188.0,10.0,8.0,18.0,8.0,68.0,18.436363637447357,48.5,6.495,487
768.0,35.1666666418314,36.0,601.6,77.7,2196.0,10.200000002980232,8.0,18.0,8.0,68.0,18.490909092128277,48.5,6.495,487
754.0,35.0,36.0,581.8,77.3,2204.0,10.400000005960464,8.0,18.0,8.0,68.0,18.545454546809196,48.5,6.611,487
739.0,35.0,35.0,619.0,77.3,2212.0,10.600000008940697,8.0,18.0,8.0,68.0,18.6,48.5,6.428,487
750.0,35.0,35.0,619.0,77.3,2220.0,10.800000011920929,8.0,18.0,8.0,68.0,18.542857142537834,48.5,6.428,487
774.0,35.0,35.0,600.3,77.3,2228.0,11.0,8.0,18.0,8.0,68.0,18.485714285075666,48.5,6.428,487
784.0,35.0,35.0,619.0,77.3,2225.4444444179535,11.0,8.0,18.0,8.0,68.0,18.428571427613498,48.5,6.428,487
772.0,36.0,35.0,619.1,77.3,2222.888888835907,11.0,8.0,18.0,8.0,68.0,18.37142857015133,48.5,6.428,487
